INFO:Training.base_trainer:Wandb set up. Run ID: pvknq1zf
INFO:Training.base_trainer:Preparing data
INFO:Training.base_trainer:Preparing data for AlgNN...
INFO:Training.base_trainer:Generating 100000 training points...
INFO:Training.base_trainer:  Removed 0 infeasible points. New N_train = 100000
INFO:Training.base_trainer:Generating 5000 validation points...
INFO:Training.base_trainer:Data preparation complete.
INFO:Training.base_trainer:--- Starting Stage 1: Adam Training for 5000 epochs ---
INFO:Training.base_trainer:Epoch 440 | Train Loss: 8.74981022 | Val Loss: 8.67020035 | (Val P_bh MSE: 3.615175)
INFO:Training.base_trainer:Epoch 450 | Train Loss: 8.53706837 | Val Loss: 8.45522881 | (Val P_bh MSE: 3.590218)
INFO:Training.base_trainer:Epoch 460 | Train Loss: 8.34457970 | Val Loss: 8.26068878 | (Val P_bh MSE: 3.560870)
INFO:Training.base_trainer:Epoch 470 | Train Loss: 8.17114544 | Val Loss: 8.08541203 | (Val P_bh MSE: 3.526242)
INFO:Training.base_trainer:Epoch 480 | Train Loss: 8.01450062 | Val Loss: 7.92715883 | (Val P_bh MSE: 3.486356)
INFO:Training.base_trainer:Epoch 490 | Train Loss: 7.87198353 | Val Loss: 7.78328133 | (Val P_bh MSE: 3.441996)
INFO:Training.base_trainer:Epoch 500 | Train Loss: 7.74102163 | Val Loss: 7.65376663 | (Val P_bh MSE: 3.395370)
INFO:Training.base_trainer:Epoch 510 | Train Loss: 7.64321899 | Val Loss: 7.55517054 | (Val P_bh MSE: 3.355745)
INFO:Training.base_trainer:Epoch 520 | Train Loss: 7.55040646 | Val Loss: 7.46173334 | (Val P_bh MSE: 3.315475)
INFO:Training.base_trainer:Epoch 530 | Train Loss: 7.46159983 | Val Loss: 7.37246799 | (Val P_bh MSE: 3.275277)
INFO:Training.base_trainer:Epoch 540 | Train Loss: 7.37610245 | Val Loss: 7.28666925 | (Val P_bh MSE: 3.235622)
INFO:Training.base_trainer:Epoch 550 | Train Loss: 7.29336834 | Val Loss: 7.20378399 | (Val P_bh MSE: 3.196837)
INFO:Training.base_trainer:Epoch 560 | Train Loss: 7.21294403 | Val Loss: 7.12334824 | (Val P_bh MSE: 3.159127)
INFO:Training.base_trainer:Epoch 570 | Train Loss: 7.13445187 | Val Loss: 7.04497242 | (Val P_bh MSE: 3.122625)
INFO:Training.base_trainer:Epoch 580 | Train Loss: 7.05757189 | Val Loss: 6.96833229 | (Val P_bh MSE: 3.087396)
INFO:Training.base_trainer:Epoch 590 | Train Loss: 6.98204374 | Val Loss: 6.89315844 | (Val P_bh MSE: 3.053466)
INFO:Training.base_trainer:Epoch 600 | Train Loss: 6.90765667 | Val Loss: 6.81923532 | (Val P_bh MSE: 3.020822)
INFO:Training.base_trainer:Epoch 610 | Train Loss: 6.83424759 | Val Loss: 6.74639463 | (Val P_bh MSE: 2.989428)
INFO:Training.base_trainer:Epoch 620 | Train Loss: 6.76170158 | Val Loss: 6.67451334 | (Val P_bh MSE: 2.959231)
INFO:Training.base_trainer:Epoch 630 | Train Loss: 6.68993902 | Val Loss: 6.60351038 | (Val P_bh MSE: 2.930162)
INFO:Training.base_trainer:Epoch 640 | Train Loss: 6.61892605 | Val Loss: 6.53334379 | (Val P_bh MSE: 2.902146)
INFO:Training.base_trainer:Epoch 650 | Train Loss: 6.54865503 | Val Loss: 6.46400404 | (Val P_bh MSE: 2.875094)
INFO:Training.base_trainer:Epoch 660 | Train Loss: 6.47915936 | Val Loss: 6.39551544 | (Val P_bh MSE: 2.848918)
INFO:Training.base_trainer:Epoch 670 | Train Loss: 6.41049004 | Val Loss: 6.32792568 | (Val P_bh MSE: 2.823527)
INFO:Training.base_trainer:Epoch 680 | Train Loss: 6.34272146 | Val Loss: 6.26130104 | (Val P_bh MSE: 2.798826)
INFO:Training.base_trainer:Epoch 690 | Train Loss: 6.27594471 | Val Loss: 6.19572353 | (Val P_bh MSE: 2.774721)
INFO:Training.base_trainer:Epoch 700 | Train Loss: 6.21025324 | Val Loss: 6.13128090 | (Val P_bh MSE: 2.751122)
INFO:Training.base_trainer:Epoch 710 | Train Loss: 6.14574575 | Val Loss: 6.06805992 | (Val P_bh MSE: 2.727945)
INFO:Training.base_trainer:Epoch 720 | Train Loss: 6.08251476 | Val Loss: 6.00614309 | (Val P_bh MSE: 2.705110)
INFO:Training.base_trainer:Epoch 730 | Train Loss: 6.02063894 | Val Loss: 5.94560003 | (Val P_bh MSE: 2.682546)
INFO:Training.base_trainer:Epoch 740 | Train Loss: 5.96018171 | Val Loss: 5.88648224 | (Val P_bh MSE: 2.660190)
INFO:Training.base_trainer:Epoch 750 | Train Loss: 5.90118980 | Val Loss: 5.82882690 | (Val P_bh MSE: 2.637994)
INFO:Training.base_trainer:Epoch 760 | Train Loss: 5.84368563 | Val Loss: 5.77264690 | (Val P_bh MSE: 2.615914)
INFO:Training.base_trainer:Epoch 770 | Train Loss: 5.78767395 | Val Loss: 5.71793938 | (Val P_bh MSE: 2.593920)
INFO:Training.base_trainer:Epoch 780 | Train Loss: 5.73313856 | Val Loss: 5.66468191 | (Val P_bh MSE: 2.571990)
INFO:Training.base_trainer:Epoch 790 | Train Loss: 5.68004894 | Val Loss: 5.61283922 | (Val P_bh MSE: 2.550111)
INFO:Training.base_trainer:Epoch 800 | Train Loss: 5.62835932 | Val Loss: 5.56236076 | (Val P_bh MSE: 2.528273)
INFO:Training.base_trainer:Epoch 810 | Train Loss: 5.57801199 | Val Loss: 5.51318789 | (Val P_bh MSE: 2.506477)
INFO:Training.base_trainer:Epoch 820 | Train Loss: 5.52894306 | Val Loss: 5.46525717 | (Val P_bh MSE: 2.484725)
INFO:Training.base_trainer:Epoch 830 | Train Loss: 5.48108244 | Val Loss: 5.41849899 | (Val P_bh MSE: 2.463022)
INFO:Training.base_trainer:Epoch 840 | Train Loss: 5.43435812 | Val Loss: 5.37284184 | (Val P_bh MSE: 2.441377)
INFO:Training.base_trainer:Epoch 850 | Train Loss: 5.38869667 | Val Loss: 5.32821465 | (Val P_bh MSE: 2.419800)
INFO:Training.base_trainer:Epoch 860 | Train Loss: 5.34402418 | Val Loss: 5.28454828 | (Val P_bh MSE: 2.398302)
INFO:Training.base_trainer:Epoch 870 | Train Loss: 5.30027151 | Val Loss: 5.24177217 | (Val P_bh MSE: 2.376895)
INFO:Training.base_trainer:Epoch 880 | Train Loss: 5.25736809 | Val Loss: 5.19982195 | (Val P_bh MSE: 2.355592)
INFO:Training.base_trainer:Epoch 890 | Train Loss: 5.21524811 | Val Loss: 5.15863276 | (Val P_bh MSE: 2.334402)
INFO:Training.base_trainer:Epoch 900 | Train Loss: 5.17384911 | Val Loss: 5.11814499 | (Val P_bh MSE: 2.313336)
INFO:Training.base_trainer:Epoch 910 | Train Loss: 5.13311195 | Val Loss: 5.07830095 | (Val P_bh MSE: 2.292405)
INFO:Training.base_trainer:Epoch 920 | Train Loss: 5.09298182 | Val Loss: 5.03904867 | (Val P_bh MSE: 2.271618)
INFO:Training.base_trainer:Epoch 930 | Train Loss: 5.05340481 | Val Loss: 5.00033522 | (Val P_bh MSE: 2.250981)
INFO:Training.base_trainer:Epoch 940 | Train Loss: 5.01433563 | Val Loss: 4.96211576 | (Val P_bh MSE: 2.230500)
INFO:Training.base_trainer:Epoch 950 | Train Loss: 4.97572565 | Val Loss: 4.92434311 | (Val P_bh MSE: 2.210181)
INFO:Training.base_trainer:Epoch 960 | Train Loss: 4.93753338 | Val Loss: 4.88697910 | (Val P_bh MSE: 2.190027)
INFO:Training.base_trainer:Epoch 970 | Train Loss: 4.89971876 | Val Loss: 4.84998226 | (Val P_bh MSE: 2.170040)
INFO:Training.base_trainer:Epoch 980 | Train Loss: 4.86224604 | Val Loss: 4.81331730 | (Val P_bh MSE: 2.150220)
INFO:Training.base_trainer:Epoch 990 | Train Loss: 4.82507849 | Val Loss: 4.77694941 | (Val P_bh MSE: 2.130568)
INFO:Training.base_trainer:Epoch 1000 | Train Loss: 4.78818321 | Val Loss: 4.74156618 | (Val P_bh MSE: 2.111467)
INFO:Training.base_trainer:Epoch 1010 | Train Loss: 4.75883484 | Val Loss: 4.71284008 | (Val P_bh MSE: 2.095984)
INFO:Training.base_trainer:Epoch 1020 | Train Loss: 4.72959518 | Val Loss: 4.68421507 | (Val P_bh MSE: 2.080583)
INFO:Training.base_trainer:Epoch 1030 | Train Loss: 4.70043993 | Val Loss: 4.65567207 | (Val P_bh MSE: 2.065262)
INFO:Training.base_trainer:Epoch 1040 | Train Loss: 4.67135143 | Val Loss: 4.62719488 | (Val P_bh MSE: 2.050016)
INFO:Training.base_trainer:Epoch 1050 | Train Loss: 4.64231682 | Val Loss: 4.59876966 | (Val P_bh MSE: 2.034845)
INFO:Training.base_trainer:Epoch 1060 | Train Loss: 4.61332417 | Val Loss: 4.57038736 | (Val P_bh MSE: 2.019747)
INFO:Training.base_trainer:Epoch 1070 | Train Loss: 4.58436203 | Val Loss: 4.54203510 | (Val P_bh MSE: 2.004719)
INFO:Training.base_trainer:Epoch 1080 | Train Loss: 4.55541897 | Val Loss: 4.51370096 | (Val P_bh MSE: 1.989758)
INFO:Training.base_trainer:Epoch 1090 | Train Loss: 4.52648354 | Val Loss: 4.48537636 | (Val P_bh MSE: 1.974862)
INFO:Training.base_trainer:Epoch 1100 | Train Loss: 4.49754667 | Val Loss: 4.45704985 | (Val P_bh MSE: 1.960030)
INFO:Training.base_trainer:Epoch 1110 | Train Loss: 4.46859598 | Val Loss: 4.42871284 | (Val P_bh MSE: 1.945259)
INFO:Training.base_trainer:Epoch 1120 | Train Loss: 4.43962145 | Val Loss: 4.40035439 | (Val P_bh MSE: 1.930546)
INFO:Training.base_trainer:Epoch 1130 | Train Loss: 4.41061354 | Val Loss: 4.37196445 | (Val P_bh MSE: 1.915889)
INFO:Training.base_trainer:Epoch 1140 | Train Loss: 4.38156128 | Val Loss: 4.34353399 | (Val P_bh MSE: 1.901287)
INFO:Training.base_trainer:Epoch 1150 | Train Loss: 4.35245562 | Val Loss: 4.31505394 | (Val P_bh MSE: 1.886736)
INFO:Training.base_trainer:Epoch 1160 | Train Loss: 4.32328749 | Val Loss: 4.28651333 | (Val P_bh MSE: 1.872236)
INFO:Training.base_trainer:Epoch 1170 | Train Loss: 4.29404593 | Val Loss: 4.25790453 | (Val P_bh MSE: 1.857783)
INFO:Training.base_trainer:Epoch 1180 | Train Loss: 4.26472139 | Val Loss: 4.22921753 | (Val P_bh MSE: 1.843378)
INFO:Training.base_trainer:Epoch 1190 | Train Loss: 4.23530436 | Val Loss: 4.20044279 | (Val P_bh MSE: 1.829016)
INFO:Training.base_trainer:Epoch 1200 | Train Loss: 4.20578575 | Val Loss: 4.17157173 | (Val P_bh MSE: 1.814698)
INFO:Training.base_trainer:Epoch 1210 | Train Loss: 4.17615604 | Val Loss: 4.14259481 | (Val P_bh MSE: 1.800421)
INFO:Training.base_trainer:Epoch 1220 | Train Loss: 4.14640522 | Val Loss: 4.11350250 | (Val P_bh MSE: 1.786183)
INFO:Training.base_trainer:Epoch 1230 | Train Loss: 4.11652422 | Val Loss: 4.08428526 | (Val P_bh MSE: 1.771985)
INFO:Training.base_trainer:Epoch 1240 | Train Loss: 4.08650303 | Val Loss: 4.05493402 | (Val P_bh MSE: 1.757823)
INFO:Training.base_trainer:Epoch 1250 | Train Loss: 4.05633163 | Val Loss: 4.02543831 | (Val P_bh MSE: 1.743696)
INFO:Training.base_trainer:Epoch 1260 | Train Loss: 4.02600002 | Val Loss: 3.99578905 | (Val P_bh MSE: 1.729602)
INFO:Training.base_trainer:Epoch 1270 | Train Loss: 3.99549866 | Val Loss: 3.96597481 | (Val P_bh MSE: 1.715540)
INFO:Training.base_trainer:Epoch 1280 | Train Loss: 3.96481586 | Val Loss: 3.93598604 | (Val P_bh MSE: 1.701507)
INFO:Training.base_trainer:Epoch 1290 | Train Loss: 3.93394208 | Val Loss: 3.90581250 | (Val P_bh MSE: 1.687501)
INFO:Training.base_trainer:Epoch 1300 | Train Loss: 3.90286589 | Val Loss: 3.87544203 | (Val P_bh MSE: 1.673521)
INFO:Training.base_trainer:Epoch 1310 | Train Loss: 3.87157631 | Val Loss: 3.84486270 | (Val P_bh MSE: 1.659562)
